# Combined data from 'ATLAS-ZTF' for 'SN 2024jih'
ra, dec, filter, mjd, mag, dmag, flux, dflux, zp, source
249.97834, 37.18252, o, 60485.407574, 19.818, 0.433, 43, 19, 19.816328861051034, ATLAS-ZTF
249.97834, 37.18252, o, 60485.413095, 19.427, 0.295, 62, 18, 19.419020776254364, ATLAS-ZTF
249.97834, 37.18252, o, 60485.424996, -20.3, 0.615, -28, 17, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60486.380872, 19.902, 0.45, 40, 18, 19.894850021680092, ATLAS-ZTF
249.97834, 37.18252, o, 60486.384491, 20.389, 0.63, 25, 16, 20.405149978319905, ATLAS-ZTF
249.97834, 37.18252, o, 60486.390378, -21.213, 1.523, -12, 18, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60486.400869, 19.28, 0.228, 70, 16, 19.287254899964356, ATLAS-ZTF
249.97834, 37.18252, o, 60487.381354, 20.354, 0.377, 26, 10, 20.362566630072955, ATLAS-ZTF
249.97834, 37.18252, o, 60487.384231, 21.997, 2.1, 6, 12, 21.95462187404089, ATLAS-ZTF
249.97834, 37.18252, o, 60487.38977, 19.582, 0.201, 53, 11, 19.589310325998028, ATLAS-ZTF
249.97834, 37.18252, o, 60487.411846, 21.559, 1.457, 9, 13, 21.514393726401686, ATLAS-ZTF
249.97834, 37.18252, o, 60488.353532, 21.878, 1.714, 6, 11, 21.95462187404089, ATLAS-ZTF
249.97834, 37.18252, o, 60488.368668, 20.714, 0.503, 19, 10, 20.703115997617928, ATLAS-ZTF
249.97834, 37.18252, o, 60488.37212, 21.411, 1.111, 10, 11, 21.4, ATLAS-ZTF
249.97834, 37.18252, o, 60488.386047, 24.001, 11.143, 1, 10, 23.9, ATLAS-ZTF
249.97834, 37.18252, o, 60489.385569, 20.571, 0.548, 22, 12, 20.543943297944484, ATLAS-ZTF
249.97834, 37.18252, o, 60489.388734, 20.427, 0.365, 24, 9, 20.449471895720983, ATLAS-ZTF
249.97834, 37.18252, o, 60489.390749, 20.356, 0.365, 26, 10, 20.362566630072955, ATLAS-ZTF
249.97834, 37.18252, o, 60489.394451, 19.729, 0.195, 47, 9, 19.719755355160704, ATLAS-ZTF
249.97834, 37.18252, o, 60489.394735, 20.105, 0.316, 33, 10, 20.10371515030528, ATLAS-ZTF
249.97834, 37.18252, o, 60489.399665, 21.096, 0.673, 13, 9, 21.115141619232908, ATLAS-ZTF
249.97834, 37.18252, o, 60489.4049, 19.713, 0.272, 47, 13, 19.719755355160704, ATLAS-ZTF
249.97834, 37.18252, o, 60489.409657, -23.581, 8.4, -1, 11, nan, ATLAS-ZTF
249.97834, 37.18252, o, 60492.38205, 19.646, 0.201, 50, 10, 19.65257498915995, ATLAS-ZTF
249.97834, 37.18252, o, 60492.385286, 22.819, 3.682, 3, 10, 22.707196863200842, ATLAS-ZTF
249.97834, 37.18252, o, 60492.390828, 19.842, 0.23, 42, 10, 19.841876774005247, ATLAS-ZTF
249.97834, 37.18252, o, 60492.401505, 20.196, 0.355, 30, 11, 20.207196863200842, ATLAS-ZTF
249.97834, 37.18252, o, 60493.303618, 21.37, 1.019, 10, 10, 21.4, ATLAS-ZTF
249.97834, 37.18252, o, 60493.306172, 20.118, 0.383, 33, 12, 20.10371515030528, ATLAS-ZTF
249.97834, 37.18252, o, 60493.30901, 20.661, 0.628, 20, 12, 20.647425010840045, ATLAS-ZTF
249.97834, 37.18252, o, 60493.334878, 21.96, 1.845, 6, 11, 21.95462187404089, ATLAS-ZTF
249.97834, 37.18252, o, 60494.374324, 19.693, 0.204, 48, 10, 19.69689690656103, ATLAS-ZTF
249.97834, 37.18252, o, 60494.377489, 20.128, 0.354, 32, 11, 20.137125054200233, ATLAS-ZTF
249.97834, 37.18252, o, 60494.387046, 20.233, 0.345, 29, 10, 20.24400500525261, ATLAS-ZTF
249.97834, 37.18252, o, 60494.40401, 20.244, 0.301, 29, 9, 20.24400500525261, ATLAS-ZTF
249.97834, 37.18252, o, 60495.363994, -20.875, 0.653, -16, 11, nan, ATLAS-ZTF
